X,Y,Z,Yaw,Pitch,Roll
-0.062684055,0.077285714,0.013571429,-24.28571429,0.942857143,-1.885714286
-0.058768642,0.075484224,0.012807153,-24.11625199,0.91248254,-1.824965079
-0.054909355,0.073708207,0.012060271,-23.94753975,0.882311111,-1.764622222
-0.051105876,0.071957486,0.011330651,-23.77956571,0.852342857,-1.704685714
-0.047357883,0.070231881,0.010618165,-23.61231802,0.822577778,-1.645155556
-0.043665058,0.068531217,0.009922681,-23.44578483,0.793015873,-1.586031746
-0.040027081,0.066855314,0.009244069,-23.27995429,0.763657143,-1.527314286
-0.036443631,0.065203996,0.008582198,-23.11481453,0.734501587,-1.469003175
-0.032914389,0.063577084,0.007936939,-22.95035372,0.705549206,-1.411098413
-0.029439035,0.0619744,0.00730816,-22.78656,0.6768,-1.3536
-0.02601725,0.060395767,0.006695732,-22.62342152,0.648253968,-1.296507937
-0.022648714,0.058841007,0.006099524,-22.46092642,0.619911111,-1.239822222
-0.019333106,0.057309943,0.005519406,-22.29906286,0.591771429,-1.183542857
-0.016070107,0.055802396,0.004955247,-22.13781898,0.563834921,-1.127669841
-0.012859398,0.054318188,0.004406917,-21.97718293,0.536101587,-1.072203175
-0.009700658,0.052857143,0.003874286,-21.81714286,0.508571429,-1.017142857
-0.006593569,0.051419081,0.003357223,-21.65768691,0.481244444,-0.962488889
-0.003537809,0.050003826,0.002855598,-21.49880325,0.454120635,-0.90824127
-0.000533059,0.0486112,0.00236928,-21.34048,0.4272,-0.8544
0.002421,0.047241024,0.00189814,-21.18270533,0.40048254,-0.800965079
0.005324688,0.045893122,0.001442046,-21.02546737,0.373968254,-0.747936508
0.008178325,0.044567314,0.001000869,-20.86875429,0.347657143,-0.695314286
0.010982232,0.043263424,0.000574477,-20.71255422,0.321549206,-0.643098413
0.013736726,0.041981274,0.000162742,-20.55685531,0.295644444,-0.591288889
0.01644213,0.040720686,-0.000234469,-20.40164571,0.269942857,-0.539885714
0.019098761,0.039481481,-0.000617284,-20.24691358,0.244444444,-0.488888889
0.02170694,0.038263484,-0.000985835,-20.09264705,0.219149206,-0.438298413
0.024266987,0.037066514,-0.001340251,-19.93883429,0.194057143,-0.388114286
0.026779221,0.035890396,-0.001680664,-19.78546342,0.169168254,-0.338336508
0.029243963,0.03473495,-0.002007204,-19.63252261,0.14448254,-0.288965079
0.031661532,0.0336,-0.00232,-19.48,0.12,-0.24
0.034032247,0.032485367,-0.002619184,-19.32788374,0.095720635,-0.19144127
0.036356429,0.031390874,-0.002904885,-19.17616198,0.071644444,-0.143288889
0.038634397,0.030316343,-0.003177234,-19.02482286,0.047771429,-0.095542857
0.040866472,0.029261596,-0.003436362,-18.87385453,0.024101587,-0.048203175
0.043052972,0.028226455,-0.003682399,-18.72324515,0.000634921,-0.001269841
0.045194218,0.027210743,-0.003915474,-18.57298286,-0.022628571,0.045257143
0.047290529,0.026214281,-0.00413572,-18.4230558,-0.045688889,0.091377778
0.049342225,0.025236893,-0.004343265,-18.27345213,-0.068546032,0.137092063
0.051349627,0.0242784,-0.00453824,-18.12416,-0.0912,0.1824
0.053313053,0.023338624,-0.004720776,-17.97516755,-0.113650794,0.227301587
0.055232823,0.022417388,-0.004891003,-17.82646293,-0.135898413,0.271796825
0.057109258,0.021514514,-0.005049051,-17.67803429,-0.157942857,0.315885714
0.058942677,0.020629824,-0.005195052,-17.52986977,-0.179784127,0.359568254
0.0607334,0.019763141,-0.005329134,-17.38195753,-0.201422222,0.402844444
0.062481746,0.018914286,-0.005451429,-17.23428571,-0.222857143,0.445714286
0.064188036,0.018083081,-0.005562066,-17.08684247,-0.244088889,0.488177778
0.065852589,0.01726935,-0.005661177,-16.93961594,-0.26511746,0.530234921
0.067475724,0.016472914,-0.005748891,-16.79259429,-0.285942857,0.571885714
0.069057763,0.015693596,-0.00582534,-16.64576564,-0.306565079,0.613130159
0.070599024,0.014931217,-0.005890653,-16.49911817,-0.326984127,0.653968254
0.072099827,0.0141856,-0.00594496,-16.35264,-0.3472,0.6944
0.073560492,0.013456567,-0.005988393,-16.20631929,-0.367212698,0.734425397
0.074981338,0.012743941,-0.00602108,-16.0601442,-0.387022222,0.774044444
0.076362687,0.012047543,-0.006043154,-15.91410286,-0.406628571,0.813257143
0.077704856,0.011367196,-0.006054744,-15.76818342,-0.426031746,0.852063492
0.079008167,0.010702722,-0.006055981,-15.62237404,-0.445231746,0.890463492
0.080272938,0.010053943,-0.006046994,-15.47666286,-0.464228571,0.928457143
0.081499491,0.009420681,-0.006027915,-15.33103802,-0.483022222,0.966044444
0.082688143,0.00880276,-0.005998874,-15.18548769,-0.501612698,1.003225397
0.083839216,0.0082,-0.00596,-15.04,-0.52,1.04
0.084953028,0.007612224,-0.005911425,-14.8945631,-0.538184127,1.076368254
