X,Y,Z,Yaw,Pitch,Roll
0.019925,0.1651,0.028768,-35,15,0
0.015139,0.1651,0.028248,-35,15,0
0.010572,0.1651,0.027353,-35,15,0
0.0062842,0.1651,0.026261,-35,15,0
0.0033895,0.16195,0.024823,-35,15,0
0.0011573,0.15636,0.023365,-35,15,0
-0.0025436,0.15164,0.022497,-35,15,0
-0.0068813,0.14623,0.02173,-35,15,0
-0.012588,0.14076,0.020914,-35,15,0
-0.018762,0.13466,0.020059,-35,15,0
-0.023769,0.12893,0.019137,-35,15,0
-0.029723,0.12169,0.018152,-35,15,0
-0.035447,0.11402,0.017077,-35,15,0
-0.04218,0.10352,0.015524,-35,15,0
-0.049721,0.093356,0.013969,-35,15,0
-0.056404,0.083915,0.012673,-35,15,0
-0.062792,0.075961,0.011613,-35,15,0
-0.069111,0.068028,0.010475,-35,15,0
-0.075459,0.057752,0.0089712,-35,15,0
-0.081997,0.047361,0.0074997,-35,15,0
-0.087752,0.038924,0.0063319,-35,15,0
-0.093852,0.031578,0.0051288,-35,15,0
-0.098843,0.023298,0.003594,-35,15,0
-0.1039,0.014457,0.0021251,-35,15,0
-0.10878,0.0071548,0.0012287,-35,15,0
-0.11351,0.00063618,0.00054626,-35,15,0
-0.11836,-0.005478,0.0013734,-35,15,0
-0.12241,-0.011035,0.0022781,-35,15,0
-0.1254,-0.016308,0.0025439,-35,15,0
-0.12937,-0.020955,0.0022732,-35,15,0
-0.13262,-0.024763,0.0020542,-35,15,0
-0.13531,-0.028005,0.0019876,-35,15,0
-0.13813,-0.030862,0.0018571,-35,15,0
-0.14167,-0.033722,0.0014455,-35,15,0
-0.14552,-0.036805,0.00075098,-35,15,0
-0.14858,-0.038324,0.00012966,-35,15,0
-0.15239,-0.03913,-0.00052523,-35,15,0
-0.15453,-0.039488,-0.0010877,-35,15,0
-0.15579,-0.039724,-0.0016974,-35,15,0
-0.15784,-0.039951,-0.0022588,-35,15,0
-0.15911,-0.038921,-0.0022555,-35,15,0
-0.16122,-0.036286,-0.0020942,-35,15,0
-0.16357,-0.03272,-0.0021019,-35,15,0
-0.16564,-0.028119,-0.0022004,-35,15,0
-0.16855,-0.023523,-0.0025917,-35,15,0
-0.17142,-0.019473,-0.0031723,-35,15,0
-0.1757,-0.014231,-0.0034855,-35,15,0
