X,Y,Z,Yaw,Pitch,Roll
0.017927,0.28335,-0.070787,0,0,0
0.015573,0.27268,-0.070681,0,0,0
0.014055,0.26323,-0.070442,0,0,0
0.012943,0.25377,-0.070832,0,0,0
0.01212,0.2458,-0.070646,0,0,0
0.011419,0.23643,-0.071102,0,0,0
0.010908,0.22703,-0.07152,0,0,0
0.010568,0.21838,-0.071236,0,0,0
0.010396,0.20948,-0.071168,0,0,0
0.010318,0.19963,-0.071451,0,0,0
0.010787,0.1889,-0.071855,0,0,0
0.012553,0.17953,-0.071507,0,0,0
0.014836,0.1701,-0.070861,0,0,0
0.017861,0.16256,-0.070703,0,0,0
0.020991,0.15448,-0.071762,0,0,0
0.025302,0.14697,-0.072698,0,0,0
0.029756,0.14077,-0.073814,0,0,0
0.034661,0.13444,-0.073716,0,0,0
0.040141,0.12748,-0.072547,0,0,0
0.045809,0.11849,-0.070839,0,0,0
0.051174,0.1102,-0.068602,0,0,0
0.055686,0.1019,-0.066999,0,0,0
0.059769,0.091919,-0.066305,0,0,0
0.064417,0.083885,-0.064429,0,0,0
0.068311,0.075258,-0.06065,0,0,0
0.071179,0.066117,-0.056208,0,0,0
0.072922,0.052487,-0.052962,0,0,0
0.073856,0.038911,-0.051106,0,0,0
0.074137,0.026676,-0.049751,0,0,0
0.07346,0.017448,-0.048612,0,0,0
0.071132,0.0062956,-0.046992,0,0,0
0.066157,-0.0047664,-0.046572,0,0,0
0.060594,-0.01673,-0.045824,0,0,0
0.054593,-0.02959,-0.045165,0,0,0
0.047719,-0.04336,-0.044598,0,0,0
0.040406,-0.058715,-0.045749,0,0,0
0.03098,-0.076198,-0.048296,0,0,0
0.021156,-0.09088,-0.050971,0,0,0
0.01076,-0.1048,-0.055033,0,0,0
0.00021825,-0.12144,-0.060004,0,0,0
-0.0066621,-0.13708,-0.064324,0,0,0
-0.013973,-0.15351,-0.068689,0,0,0
-0.020375,-0.17185,-0.072594,0,0,0
-0.026884,-0.19079,-0.076097,0,0,0
-0.032209,-0.20411,-0.078171,0,0,0
-0.037083,-0.21625,-0.078033,0,0,0
-0.041827,-0.22885,-0.077735,0,0,0
-0.046032,-0.24039,-0.077701,0,0,0
-0.049464,-0.25005,-0.076797,0,0,0
-0.053668,-0.25726,-0.07466,0,0,0
-0.059401,-0.26201,-0.074709,0,0,0
-0.063935,-0.26566,-0.075319,0,0,0
-0.067743,-0.26868,-0.078476,0,0,0
-0.07138,-0.27066,-0.081121,0,0,0
-0.075312,-0.27179,-0.083073,0,0,0
-0.078989,-0.27275,-0.082723,0,0,0
-0.082311,-0.27235,-0.083302,0,0,0
-0.085783,-0.26919,-0.084755,0,0,0
-0.090058,-0.26148,-0.086967,0,0,0
-0.094306,-0.25152,-0.091399,0,0,0
-0.098783,-0.23797,-0.096249,0,0,0
-0.10276,-0.22228,-0.10043,0,0,0
-0.10642,-0.20623,-0.10392,0,0,0
-0.11002,-0.19063,-0.10658,0,0,0
-0.115,-0.17183,-0.10947,0,0,0
-0.12005,-0.15166,-0.11335,0,0,0
-0.12582,-0.12919,-0.11791,0,0,0
-0.13088,-0.10977,-0.12315,0,0,0
-0.13697,-0.085389,-0.12953,0,0,0
-0.14212,-0.059746,-0.13576,0,0,0
-0.14706,-0.034373,-0.14106,0,0,0
-0.15184,-0.011158,-0.1446,0,0,0
-0.15608,0.0076337,-0.14446,0,0,0
-0.15998,0.024561,-0.14444,0,0,0
-0.163,0.043544,-0.14443,0,0,0
-0.1653,0.060809,-0.14395,0,0,0
-0.16731,0.07925,-0.14269,0,0,0
-0.1696,0.093501,-0.14145,0,0,0
-0.17216,0.10391,-0.14041,0,0,0
-0.17475,0.11144,-0.13958,0,0,0
-0.17687,0.12198,-0.13915,0,0,0
-0.1783,0.13144,-0.13887,0,0,0
-0.17938,0.13994,-0.13864,0,0,0
-0.18001,0.14556,-0.13828,0,0,0
-0.18035,0.15017,-0.13789,0,0,0
-0.18053,0.15558,-0.1378,0,0,0
-0.18022,0.16011,-0.13729,0,0,0
-0.17967,0.16358,-0.13652,0,0,0
-0.17787,0.16645,-0.13541,0,0,0
-0.17327,0.16793,-0.13373,0,0,0
-0.16881,0.16909,-0.13164,0,0,0
-0.16387,0.16993,-0.12981,0,0,0
-0.1592,0.17051,-0.12809,0,0,0
-0.15476,0.1711,-0.1259,0,0,0
-0.15037,0.17199,-0.12357,0,0,0
-0.14361,0.17253,-0.12127,0,0,0
-0.13574,0.17275,-0.11864,0,0,0
-0.12834,0.1729,-0.11672,0,0,0
-0.12174,0.17298,-0.11521,0,0,0
-0.11433,0.17214,-0.11451,0,0,0
-0.10452,0.1699,-0.11262,0,0,0
-0.095484,0.1668,-0.11065,0,0,0
-0.087055,0.16138,-0.10756,0,0,0
-0.077497,0.15491,-0.10414,0,0,0
-0.066731,0.14932,-0.10107,0,0,0
-0.056344,0.1419,-0.097386,0,0,0
-0.047623,0.13402,-0.093403,0,0,0
-0.038782,0.12666,-0.08902,0,0,0
-0.028342,0.12111,-0.084404,0,0,0
-0.019581,0.11503,-0.08182,0,0,0
-0.011337,0.10869,-0.078634,0,0,0
-0.0040468,0.10331,-0.075893,0,0,0
0.0039945,0.098708,-0.073828,0,0,0
0.012457,0.094753,-0.072366,0,0,0
0.021615,0.091588,-0.070755,0,0,0
0.030003,0.088818,-0.068215,0,0,0
0.03733,0.086578,-0.065882,0,0,0
0.045136,0.084851,-0.060583,0,0,0
0.055621,0.083437,-0.055584,0,0,0
0.066111,0.081981,-0.051579,0,0,0
0.07639,0.080235,-0.048248,0,0,0
0.086603,0.078122,-0.043474,0,0,0
0.097535,0.075475,-0.039058,0,0,0
0.10962,0.073653,-0.035383,0,0,0
0.12219,0.072372,-0.0327,0,0,0
0.13556,0.071407,-0.030901,0,0,0
0.14701,0.070925,-0.031883,0,0,0
0.16061,0.070388,-0.032246,0,0,0
0.17342,0.070255,-0.03283,0,0,0
0.18653,0.070234,-0.032672,0,0,0
0.20066,0.070384,-0.032496,0,0,0
0.21508,0.071158,-0.031121,0,0,0
0.22877,0.072139,-0.028472,0,0,0
0.2409,0.073426,-0.024974,0,0,0
0.25276,0.074517,-0.018824,0,0,0
0.26311,0.075277,-0.011896,0,0,0
0.27256,0.075762,-0.005889,0,0,0
0.28204,0.076207,-0.000233,0,0,0
0.29066,0.076329,0.00493,0,0,0
0.29639,0.076352,0.008165,0,0,0
0.3,0.076438,0.010591,0,0,0
0.3,0.07631,0.012097,0,0,0
0.3,0.076132,0.013534,0,0,0
0.3,0.075972,0.014592,0,0,0
0.3,0.075803,0.014889,0,0,0
0.3,0.07564,0.015079,0,0,0
0.3,0.075457,0.015355,0,0,0
0.3,0.075256,0.014996,0,0,0
0.3,0.07493,0.014046,0,0,0
0.29101,0.072053,0.012185,0,0,0
0.28193,0.06866,0.010236,0,0,0
0.27399,0.065279,0.008221,0,0,0
0.26756,0.060109,0.006196,0,0,0
0.25993,0.054021,0.00378,0,0,0
0.25106,0.045148,0.001262,0,0,0
0.23926,0.035744,-0.002601,0,0,0
0.22562,0.028223,-0.006856,0,0,0
0.21413,0.020769,-0.011027,0,0,0
0.20359,0.012257,-0.017499,0,0,0
0.19,0.0015568,-0.023894,0,0,0
0.17674,-0.0085704,-0.02966,0,0,0
0.16388,-0.020078,-0.035375,0,0,0
0.15117,-0.03118,-0.041053,0,0,0
0.13724,-0.040916,-0.046839,0,0,0
0.12581,-0.052102,-0.052382,0,0,0
0.11524,-0.062164,-0.05696,0,0,0
0.10267,-0.071322,-0.060496,0,0,0
0.092065,-0.078688,-0.059837,0,0,0
0.082006,-0.087015,-0.055852,0,0,0
0.070826,-0.093528,-0.051124,0,0,0
0.059695,-0.099425,-0.04813,0,0,0
0.047963,-0.10513,-0.045752,0,0,0
0.037105,-0.10916,-0.045374,0,0,0
0.027014,-0.11157,-0.048702,0,0,0
0.017738,-0.1137,-0.051742,0,0,0
0.0089167,-0.11546,-0.054594,0,0,0
-0.00038007,-0.11634,-0.057605,0,0,0
-0.0064548,-0.11644,-0.06051,0,0,0
-0.012531,-0.11579,-0.06323,0,0,0
