X,Y,Z,Yaw,Pitch,Roll
-0.039714286,0.0200661,0.0567241,-0.042857143,0.914285714,0.042857143
-0.038681504,0.016182883,0.056433623,-0.044527182,0.912901982,0.044527182
-0.03766562,0.012372999,0.056142321,-0.046046025,0.911292049,0.046046025
-0.036666514,0.008635949,0.055850173,-0.047414857,0.909458286,0.047414857
-0.035684069,0.004971232,0.055557158,-0.048634864,0.907403062,0.048634864
-0.034718166,0.001378351,0.055263254,-0.049707231,0.905128748,0.049707231
-0.033768686,-0.002143194,0.054968439,-0.050633143,0.902637714,0.050633143
-0.03283551,-0.005593903,0.054672692,-0.051413785,0.899932332,0.051413785
-0.031918521,-0.008974275,0.054375992,-0.052050342,0.89701497,0.052050342
-0.0310176,-0.01228481,0.054078317,-0.052544,0.893888,0.052544
-0.030132628,-0.015526007,0.053779646,-0.052895944,0.890553792,0.052895944
-0.029263486,-0.018698364,0.053479957,-0.053107358,0.887014716,0.053107358
-0.028410057,-0.021802382,0.053179228,-0.053179429,0.883273143,0.053179429
-0.027572222,-0.02483856,0.052877439,-0.05311334,0.879331443,0.05311334
-0.026749861,-0.027807397,0.052574567,-0.052910279,0.875191986,0.052910279
-0.025942857,-0.030709392,0.052270592,-0.052571429,0.870857143,0.052571429
-0.025151091,-0.033545045,0.051965491,-0.052097975,0.866329284,0.052097975
-0.024374445,-0.036314856,0.051659244,-0.051491104,0.86161078,0.051491104
-0.0236128,-0.039019322,0.051351828,-0.050752,0.856704,0.050752
-0.022866037,-0.041658945,0.051043223,-0.049881848,0.851611316,0.049881848
-0.022134039,-0.044234223,0.050733406,-0.048881834,0.846335097,0.048881834
-0.021416686,-0.046745656,0.050422357,-0.047753143,0.840877714,0.047753143
-0.02071386,-0.049193742,0.050110053,-0.046496959,0.835241538,0.046496959
-0.020025442,-0.051578982,0.049796474,-0.045114469,0.829428938,0.045114469
-0.019351314,-0.053901874,0.049481597,-0.043606857,0.823442286,0.043606857
-0.018691358,-0.056162919,0.049165402,-0.041975309,0.817283951,0.041975309
-0.018045455,-0.058362614,0.048847867,-0.040221009,0.810956303,0.040221009
-0.017413486,-0.06050146,0.048528971,-0.038345143,0.804461714,0.038345143
-0.016795333,-0.062579956,0.048208691,-0.036348896,0.797802554,0.036348896
-0.016190877,-0.064598602,0.047887006,-0.034233453,0.790981192,0.034233453
-0.0156,-0.066557896,0.047563896,-0.032,0.784,0.032
-0.015022583,-0.068458338,0.047239338,-0.029649721,0.776861347,0.029649721
-0.014458509,-0.070300428,0.046913311,-0.027183802,0.769567605,0.027183802
-0.013907657,-0.072084664,0.046585794,-0.024603429,0.762121143,0.024603429
-0.01336991,-0.073811546,0.046256764,-0.021909785,0.754524332,0.021909785
-0.01284515,-0.075481574,0.045926201,-0.019104056,0.746779541,0.019104056
-0.012333257,-0.077095246,0.045594083,-0.016187429,0.738889143,0.016187429
-0.011834114,-0.078653063,0.045260389,-0.013161086,0.730855506,0.013161086
-0.011347601,-0.080155523,0.044925097,-0.010026215,0.722681002,0.010026215
-0.0108736,-0.081603126,0.044588185,-0.006784,0.714368,0.006784
-0.010411993,-0.082996371,0.044249632,-0.003435626,0.705918871,0.003435626
-0.009962661,-0.084335757,0.043909417,1.77E-05,0.697335986,-1.77E-05
-0.009525486,-0.085621784,0.043567518,0.003574857,0.688621714,-0.003574857
-0.009100349,-0.086854951,0.043223914,0.007234596,0.679778427,-0.007234596
-0.008687131,-0.088035758,0.042878583,0.010995753,0.670808494,-0.010995753
-0.008285714,-0.089164704,4.25E-02,0.014857143,0.661714286,-0.014857143
-0.00789598,-0.090242288,4.22E-02,0.01881758,0.652498173,-0.01881758
-0.00751781,-0.091269009,4.18E-02,0.02287588,0.643162526,-0.02287588
-0.007151086,-0.092245368,4.15E-02,0.027030857,0.633709714,-0.027030857
-0.006795688,-0.093171862,4.11E-02,0.031281326,0.624142109,-0.031281326
-0.006451499,-0.094048993,4.08E-02,0.035626102,0.614462081,-0.035626102
-0.0061184,-0.094877258,4.04E-02,0.040064,0.604672,-0.040064
-0.005796272,-0.095657157,4.01E-02,0.044593834,0.594774236,-0.044593834
-0.005484998,-0.09638919,3.97E-02,0.04921442,0.58477116,-0.04921442
-0.005184457,-0.097073856,3.93E-02,0.053924571,0.574665143,-0.053924571
-0.004894533,-0.097711655,3.90E-02,0.058723104,0.564458554,-0.058723104
-0.004615105,-0.098303085,3.86E-02,0.063608832,0.554153764,-0.063608832
-0.004346057,-0.098848646,3.82E-02,0.068580571,0.543753143,-0.068580571
-0.004087269,-0.099348837,3.79E-02,0.073637136,0.533259062,-0.073637136
-0.003838623,-0.099804158,3.75E-02,0.07877734,0.522673891,-0.07877734
-0.0036,-0.100215108,3.71E-02,0.084,0.512,-0.084
-0.003371282,-0.100582186,3.67E-02,0.089303929,0.50123976,-0.089303929
-0.00315235,-0.100905893,3.63E-02,0.094687944,0.490395541,-0.094687944
-0.002943086,-0.101186726,3.60E-02,0.100150857,0.479469714,-0.100150857
-0.002743371,-0.101425186,3.56E-02,0.105691485,0.468464649,-0.105691485
-0.002553086,-0.101621771,3.52E-02,0.111308642,0.457382716,-0.111308642
-0.002372114,-0.101776982,3.48E-02,0.117001143,0.446226286,-0.117001143
-0.002200336,-0.101891317,3.44E-02,0.122767802,0.434997728,-0.122767802
-0.002037632,-0.101965276,3.40E-02,0.128607436,0.423699414,-0.128607436
-0.001883886,-0.101999358,3.36E-02,0.134518857,0.412333714,-0.134518857
