X,Y,Z,Yaw,Pitch,Roll
0.18256,0.010757143,0.172634286,8.19E+01,4.69E+00,4.29E-02
0.178483912,1.08E-02,0.170054664,81.85917282,4.68E+00,4.45E-02
0.174416615,0.010875461,0.167524284,81.85765398,4.67E+00,4.60E-02
0.170358221,0.010936265,0.165042732,81.85628514,4.66E+00,4.74E-02
0.166308845,0.010998125,0.162609594,81.85506514,4.65E+00,4.86E-02
0.162268602,0.011061009,0.160224457,81.85399277,4.641793651,0.049707231
0.158237606,0.011124887,0.157886907,81.85306686,4.63E+00,5.06E-02
0.154215971,0.011189728,0.155596529,81.85228622,4.621146032,0.051413785
0.150203812,0.011255501,0.153352909,81.85164966,4.61E+00,5.21E-02
0.146201242,0.011322176,0.151155635,81.851156,4.6006,0.052544
0.142208375,0.011389721,0.149004292,81.85080406,4.59E+00,5.29E-02
0.138225327,0.011458106,0.146898466,81.85059264,4.58E+00,5.31E-02
0.134252211,0.011527301,0.144837744,81.85052057,4.569971429,0.053179429
0.130289142,0.011597273,0.14282171,81.85058666,4.56E+00,5.31E-02
0.126336233,0.011667992,0.140849953,81.85078972,4.55E+00,5.29E-02
0.1223936,0.011739429,0.138922057,81.85112857,4.54E+00,5.26E-02
0.118461356,0.01181155,0.137037609,81.85160202,4.53E+00,5.21E-02
0.114539615,0.011884327,0.135196195,81.8522089,4.519431746,0.051491104
0.110628493,0.011957728,0.133397402,81.852948,4.51E+00,5.08E-02
0.106728102,0.012031722,0.131640814,81.85381815,4.499393651,0.049881848
0.102838558,0.012106279,0.129926019,81.85481817,4.489412698,0.048881834
0.098959974,0.012181367,0.128252603,81.85594686,4.48E+00,4.78E-02
0.095092466,0.012256956,0.126620151,81.85720304,4.47E+00,4.65E-02
0.091236146,0.012333015,0.12502825,81.85858553,4.46E+00,4.51E-02
0.08739113,0.012409513,0.123476485,81.86009314,4.449742857,0.043606857
0.083557531,0.01248642,0.121964444,81.86172469,4.439888889,0.041975309
0.079735464,0.012563704,0.120491713,81.86347899,4.430060317,0.040221009
0.075925043,0.012641335,0.119057876,81.86535486,4.42E+00,3.83E-02
0.072126383,0.012719282,0.117662521,81.8673511,4.41E+00,3.63E-02
0.068339597,0.012797514,0.116305234,81.86946655,4.40E+00,3.42E-02
0.0645648,0.012876,0.1149856,81.8717,4.39E+00,3.20E-02
0.060802106,0.01295471,0.113703206,81.87405028,4.38E+00,2.96E-02
0.05705163,0.013033612,0.112457638,81.8765162,4.371622222,0.027183802
0.053313485,0.013112677,0.111248483,81.87909657,4.36E+00,2.46E-02
0.049587786,0.013191872,0.110075325,81.88179022,4.35E+00,2.19E-02
0.045874647,0.013271168,0.108937752,81.88459594,4.34E+00,1.91E-02
0.042174182,0.013350533,0.10783535,81.88751257,4.33E+00,1.62E-02
0.038486507,0.013429936,0.106767704,81.89053891,4.323622222,0.013161086
0.034811733,0.013509348,0.105734401,81.89367378,4.314098413,0.010026215
0.031149978,0.013588736,0.104735027,81.896916,4.30E+00,6.78E-03
0.027501353,0.013668071,0.103769168,81.90026437,4.295126984,0.003435626
0.023865974,0.01374732,0.102836411,81.90371772,4.285679365,-1.77213E-05
0.020243955,0.013826455,0.10193634,81.90727486,4.28E+00,-3.57E-03
0.01663541,0.013905443,0.101068543,81.9109346,4.266860317,-0.007234596
0.013040454,0.013984254,0.100232606,81.91469575,4.26E+00,-1.10E-02
0.0094592,0.014062857,0.099428114,81.91855714,4.25E+00,-1.49E-02
0.005891763,0.014141222,0.098654655,81.92251758,4.24E+00,-1.88E-02
0.002338257,0.014219316,0.097911813,81.92657588,4.23E+00,-2.29E-02
-0.001201203,0.014297111,0.097199175,81.93073086,4.22E+00,-2.70E-02
-0.004726504,0.014374574,0.096516328,81.93498133,4.211012698,-0.031281326
-0.008237531,0.014451675,0.095862857,81.9393261,4.201793651,-0.035626102
-0.01173417,0.014528384,0.095238349,81.943764,4.19E+00,-4.01E-02
-0.015216306,0.014604669,0.094642389,81.94829383,4.183431746,-0.044593834
-0.018683826,0.014680499,0.094074564,81.95291442,4.17E+00,-4.92E-02
-0.022136614,0.014755845,0.09353446,81.95762457,4.17E+00,-5.39E-02
-0.025574558,0.014830674,0.093021663,81.9624231,4.16E+00,-5.87E-02
-0.028997542,0.014904956,0.09253576,81.96730883,4.147012698,-0.063608832
-0.032405453,0.014978661,0.092076336,81.97228057,4.14E+00,-6.86E-02
-0.035798175,0.015051757,0.091642977,81.97733714,4.13E+00,-7.36E-02
-0.039175596,0.015124213,0.091235269,81.98247734,4.119965079,-0.07877734
-0.0425376,0.015196,0.0908528,81.9877,4.11E+00,-8.40E-02
-0.045884073,0.015267086,0.090495154,81.99300393,4.10E+00,-8.93E-02
-0.049214902,0.01533744,0.090161919,81.99838794,4.09E+00,-9.47E-02
-0.052529971,0.015407031,0.089852679,82.00385086,4.08E+00,-1.00E-01
-0.055829167,0.015475829,0.089567022,82.00939149,4.08E+00,-1.06E-01
-0.059112375,0.015543802,0.089304533,82.01500864,4.07E+00,-1.11E-01
-0.062379482,0.015610921,0.089064799,82.02070114,4.057742857,-0.117001143
-0.065630372,0.015677154,0.088847406,82.0264678,4.05E+00,-1.23E-01
-0.068864931,0.01574247,0.088651939,82.03230744,4.04E+00,-1.29E-01
-0.072083046,0.015806839,0.088477985,82.03821886,4.03E+00,-1.35E-01
-0.075284602,0.015870229,0.08832513,82.04420088,4.02E+00,-1.41E-01
-0.078469485,0.015932611,0.088192961,82.05025232,4.01E+00,-1.47E-01
-0.081637581,0.015993952,0.088081062,82.056372,4.01E+00,-1.53E-01
-0.084788775,0.016054223,0.087989022,82.06255872,4.00E+00,-1.59E-01
-0.087922952,0.016113392,0.087916425,82.06881131,3.99E+00,-1.65E-01
-0.09104,0.016171429,0.087862857,82.07512857,3.98E+00,-1.71E-01
-0.094139803,0.016228302,0.087827906,82.08150933,3.97E+00,-1.78E-01
-0.097222248,0.016283982,0.087811156,82.08795239,3.96E+00,-1.84E-01
-0.100287219,0.016338437,0.087812195,82.09445657,3.95E+00,-1.91E-01
-0.103334604,0.016391636,0.087830608,82.10102069,3.95E+00,-1.97E-01
-0.106364286,0.016443549,0.087865981,82.10764356,3.94E+00,-2.04E-01
-0.109376154,0.016494144,0.087917901,82.114324,3.9286,-0.210624
-0.112370091,0.016543391,0.087985953,82.12106082,3.920193651,-0.217360818
-0.115345984,0.01659126,0.088069725,82.12785283,3.91E+00,-2.24E-01
-0.118303718,0.016637719,0.088168801,82.13469886,3.90E+00,-2.31E-01
-0.12124318,0.016682737,0.088282768,82.14159771,3.90E+00,-2.38E-01
-0.124164255,0.016726284,0.088411213,82.1485482,3.886822222,-0.244848198
-0.127066829,0.016768329,0.088553721,82.15554914,3.88E+00,-2.52E-01
-0.129950787,0.016808841,0.088709878,82.16259936,3.870288889,-0.258899358
-0.132816015,0.016847789,0.088879271,82.16969766,3.86E+00,-2.66E-01
-0.1356624,0.016885143,0.089061486,82.17684286,3.853857143,-0.273142857
-0.138489826,0.016920871,0.089256108,82.18403377,3.85E+00,-2.80E-01
-0.14129818,0.016954943,0.089462725,82.19126921,3.837526984,-0.287569213
-0.144087347,0.016987328,0.089680922,82.198548,3.8294,-0.294848
-0.146857213,0.017017995,0.089910285,82.20586895,3.82E+00,-3.02E-01
-0.149607664,0.017046914,0.0901504,82.21323086,3.81E+00,-3.10E-01
-0.152338586,0.017074053,0.090400854,82.22063257,3.805171429,-0.316932571
-0.155049863,0.017099381,0.090661233,82.22807288,3.797146032,-0.324372882
-0.157741383,0.017122869,0.090931122,82.23555061,3.79E+00,-3.32E-01
-0.16041303,0.017144485,0.091210108,82.24306457,3.78E+00,-3.39E-01
-0.163064691,0.017164198,0.091497778,82.25061358,3.773222222,-0.34691358
-0.165696252,0.017181977,0.091793716,82.25819645,3.77E+00,-3.54E-01
-0.168307597,0.017197792,0.09209751,82.265812,3.76E+00,-3.62E-01
-0.170898613,0.017211612,0.092408746,82.27345904,3.75E+00,-3.70E-01
-0.173469185,0.017223406,0.092727009,82.28113639,3.74E+00,-3.77E-01
-0.1760192,0.017233143,0.093051886,82.28884286,3.733857143,-0.385142857
-0.178548543,0.017240792,0.093382962,82.29657726,3.73E+00,-3.93E-01
-0.181057099,0.017246323,0.093719825,82.30433842,3.72E+00,-4.01E-01
-0.183544755,0.017249705,0.09406206,82.31212514,3.71E+00,-4.08E-01
-0.186011396,0.017250907,0.094409253,82.31993625,3.70E+00,-4.16E-01
-0.188456909,0.017249898,0.09476099,82.32777055,3.70E+00,-4.24E-01
-0.190881178,0.017246647,0.095116859,82.33562686,3.69E+00,-4.32E-01
-0.193284089,0.017241123,0.095476443,82.34350399,3.68E+00,-4.40E-01
-0.195665529,0.017233297,0.095839331,82.35140077,3.672193651,-0.447700769
-0.198025382,0.017223136,0.096205107,82.359316,3.66E+00,-4.56E-01
-0.200363536,0.01721061,0.096573359,82.3672485,3.66E+00,-4.64E-01
-0.202679875,0.017195689,0.096943671,82.37519709,3.65E+00,-4.71E-01
-0.204974285,0.017178341,0.097315632,82.38316057,3.64E+00,-4.79E-01
-0.207246652,0.017158535,0.097688825,82.39113777,3.63E+00,-4.87E-01
-0.209496862,0.017136241,0.098062838,82.3991275,3.63E+00,-4.95E-01
-0.2117248,0.017111429,0.098437257,82.40712857,3.62E+00,-5.03E-01
-0.213930353,0.017084066,0.098811668,82.4151398,3.61E+00,-5.11E-01
-0.216113405,0.017054123,0.099185657,82.42316001,3.604765079,-0.519460007
-0.218273843,0.017021568,0.09955881,82.431188,3.60E+00,-5.27E-01
-0.220411553,0.016986371,0.099930713,82.4392226,3.59E+00,-5.36E-01
-0.22252642,0.016948501,0.100300952,82.44726261,3.58E+00,-5.44E-01
-0.22461833,0.016907927,0.100669115,82.45530686,3.58E+00,-5.52E-01
-0.226687168,0.016864618,0.101034785,82.46335415,3.57E+00,-5.60E-01
-0.228732821,0.016818544,0.101397551,82.47140331,3.560955556,-0.567703309
-0.230755174,0.016769673,0.101756997,82.47945314,3.55E+00,-5.76E-01
-0.232754114,0.016717975,0.102112711,82.48750247,3.55E+00,-5.84E-01
-0.234729524,0.016663419,0.102464278,82.4955501,3.54E+00,-5.92E-01
-0.236681293,0.016605975,0.102811284,82.50359486,3.53E+00,-6.00E-01
-0.238609304,0.016545611,0.103153316,82.51163555,3.53E+00,-6.08E-01
-0.240513445,0.016482296,0.103489959,82.51967099,3.52E+00,-6.16E-01
-0.2423936,0.016416,0.1038208,82.5277,3.51E+00,-6.24E-01
-0.244249656,0.016346692,0.104145425,82.53572139,3.503965079,-0.63202139
-0.246081497,0.016274341,0.10446342,82.54373398,3.496955556,-0.640033975
-0.247889011,0.016198917,0.104774371,82.55173657,3.49E+00,-6.48E-01
-0.249672083,0.016120387,0.105077864,82.55972799,3.483012698,-0.656027993
-0.251430598,0.016038723,0.105373486,82.56770705,3.48E+00,-6.64E-01
-0.253164442,0.015953893,0.105660822,82.57567257,3.47E+00,-6.72E-01
-0.254873501,0.015865865,0.105939459,82.58362336,3.46E+00,-6.80E-01
-0.25655766,0.01577461,0.106208983,82.59155823,3.46E+00,-6.88E-01
