X,Y,Z,Yaw,Pitch,Roll
0.014857143,0.441857143,0.319714286,1.014285714,0.928571429,-1.042857143
0.01692877,0.417263,0.320072761,0.965567661,0.887447026,-0.994882145
0.018984952,0.393075682,0.320342345,0.91750637,0.846928593,-0.947463506
0.021025737,0.369292617,0.320523794,0.870098286,0.807012571,-0.900598857
0.023051172,0.345911234,0.320617869,0.823339852,0.767695407,-0.854285827
0.025061305,0.322928959,0.320625326,0.777227513,0.728973545,-0.808522046
0.027056183,0.300343223,0.320546926,0.731757714,0.690843429,-0.763305143
0.029035853,0.278151452,0.320383425,0.686926899,0.653301503,-0.718632748
0.031000363,0.256351075,0.320135584,0.642731513,0.616344212,-0.67450249
0.03294976,0.23493952,0.31980416,0.599168,0.579968,-0.630912
0.034884092,0.213914215,0.319389912,0.556232804,0.544169312,-0.587858907
0.036803405,0.193272589,0.318893598,0.51392237,0.508944593,-0.54534084
0.038707749,0.173012069,0.318315977,0.472233143,0.474290286,-0.503355429
0.040597169,0.153130083,0.317657808,0.431161566,0.440202836,-0.461900303
0.042471713,0.13362406,0.316919848,0.390704085,0.406678688,-0.420973093
0.044331429,0.114491429,0.316102857,0.350857143,0.373714286,-0.380571429
0.046176363,0.095729616,0.315207593,0.311617185,0.341306074,-0.340692938
0.048006565,0.07733605,0.314234815,0.272980656,0.309450497,-0.301335252
0.04982208,0.05930816,0.31318528,0.234944,0.278144,-0.262496
0.051622956,0.041643373,0.312059748,0.197503661,0.247383026,-0.224172811
0.053409242,0.024339118,0.310858977,0.160656085,0.217164021,-0.186363316
0.055180983,0.007392823,0.309583726,0.124397714,0.187483429,-0.149065143
0.056938228,-0.009198085,0.308234752,0.088724995,0.158337693,-0.112275922
0.058681023,-0.025436176,0.306812816,0.05363437,0.129723259,-0.075993284
0.060409417,-0.041324023,0.305318674,0.019122286,0.101636571,-0.040214857
0.062123457,-0.056864198,0.303753086,-0.014814815,0.074074074,-0.004938272
0.06382319,-0.072059272,0.302116811,-0.048180487,0.047032212,0.029838843
0.065508663,-0.086911817,0.300410606,-0.080978286,0.020507429,0.064118857
0.067179924,-0.101424406,0.29863523,-0.113211767,-0.005503831,0.097904141
0.068837021,-0.115599609,0.296791442,-0.144884487,-0.031005122,0.131197065
0.07048,-0.12944,0.29488,-0.176,-0.056,0.164
0.072108909,-0.142948149,0.292901663,-0.206561862,-0.080492021,0.196315316
0.073723797,-0.156126629,0.290857189,-0.23657363,-0.104484741,0.228145383
0.075324709,-0.168978011,0.288747337,-0.266038857,-0.127981714,0.259492571
0.076911693,-0.181504868,0.286572865,-0.294961101,-0.150986497,0.290359252
0.078484797,-0.193709771,0.284334533,-0.323343915,-0.173502646,0.320747795
0.080044069,-0.205595291,0.282033097,-0.351190857,-0.195533714,0.350660571
0.081589555,-0.217164002,0.279669318,-0.378505481,-0.217083259,0.380099951
0.083121303,-0.228418474,0.277243952,-0.405291344,-0.238154836,0.409068303
0.08463936,-0.23936128,0.27475776,-0.431552,-0.258752,0.437568
0.086143774,-0.249994991,0.272211499,-0.457291005,-0.278878307,0.465601411
0.087634593,-0.26032218,0.269605928,-0.482511915,-0.298537312,0.493170907
0.089111863,-0.270345417,0.266941806,-0.507218286,-0.317732571,0.520278857
0.090575632,-0.280067276,0.26421989,-0.531413672,-0.33646764,0.546927633
0.092025948,-0.289490327,0.26144094,-0.55510163,-0.354746074,0.573119605
0.093462857,-0.298617143,0.258605714,-0.578285714,-0.372571429,0.598857143
0.094886408,-0.307450295,0.255714971,-0.600969481,-0.389947259,0.624142617
0.096296647,-0.315992356,0.252769469,-0.623156487,-0.406877122,0.648978399
0.097693623,-0.324245897,0.249769966,-0.644850286,-0.423364571,0.673366857
0.099077382,-0.33221349,0.246717221,-0.666054434,-0.439413164,0.697310363
0.100447972,-0.339897707,0.243611993,-0.686772487,-0.455026455,0.720811287
0.10180544,-0.34730112,0.24045504,-0.707008,-0.470208,0.743872
0.103149834,-0.3544263,0.237247121,-0.726764529,-0.484961354,0.766494871
0.104481201,-0.36127582,0.233988994,-0.74604563,-0.499290074,0.788682272
0.105799589,-0.367852251,0.230681417,-0.764854857,-0.513197714,0.810436571
0.107105044,-0.374158166,0.22732515,-0.783195767,-0.526687831,0.831760141
0.108397615,-0.380196135,0.22392095,-0.801071915,-0.539763979,0.852655351
0.109677349,-0.385968731,0.220469577,-0.818486857,-0.552429714,0.873124571
0.110944292,-0.391478526,0.216971789,-0.835444148,-0.564688593,0.893170173
0.112198494,-0.396728092,0.213428343,-0.851947344,-0.576544169,0.912794526
0.11344,-0.40172,0.20984,-0.868,-0.588,0.932
0.114668859,-0.406456822,0.206207517,-0.883605672,-0.59905964,0.950788966
